category,question,answer1,answer2,answer3,answer4,correct
General Knowledge,What is the tallest mountain?,Everest,K2,Kilimanjaro,Denali,1
General Knowledge,How many days in a year?,365,366,360,364,1
General Knowledge,What is H2O?,Water,Oxygen,Hydrogen,Salt,1
Science,What planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,1
Science,What gas do humans breathe?,Oxygen,Carbon Dioxide,Nitrogen,Helium,1
Science,What is the chemical symbol for gold?,Au,Ag,Fe,Go,1
Science,What force keeps us on the ground?,Gravity,Magnetism,Friction,Pressure,1
Science,How many bones in the human body?,206,201,210,250,1
Science,What part of the cell contains DNA?,Nucleus,Ribosome,Mitochondria,Membrane,1
Science,What is the speed of light?,299792458 m/s,150000000 m/s,1000000 m/s,300000 m/s,1
Science,What gas do plants breathe?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,1
Science,What organ pumps blood?,Heart,Lungs,Brain,Liver,1
Science,What is the hardest natural substance?,Diamond,Iron,Gold,Quartz,1
Video Games,What console released in 1996?,Nintendo 64,PS2,Xbox,GameCube,1
Video Games,Who is the main character of Zelda?,Link,Zelda,Ganon,Mario,1
Video Games,What company made the PlayStation?,Sony,Microsoft,Nintendo,Sega,1
Video Games,What game features Master Chief?,Halo,Call of Duty,Doom,Destiny,1
Video Games,What is the best-selling game of all time?,Minecraft,GTA V,Tetris,Wii Sports,1
Video Games,What color is Pac-Man?,Yellow,Red,Blue,Green,1
Video Games,What game is known for creepers?,Minecraft,Fortnite,Roblox,Terraria,1
Video Games,Who is Mario's brother?,Luigi,Wario,Yoshi,Toad,1
Video Games,What does NPC stand for?,Non Player Character,New Play Character,Next Player Control,Non Play Control,1
Video Games,What company made WoW?,Blizzard,Valve,EA,Ubisoft,1
90s Trivia,What was the popular 90s virtual pet?,Tamagotchi,Furby,Gameboy,Walkman,1
90s Trivia,What boy band sang 'I Want It That Way'?,Backstreet Boys,NSYNC,98 Degrees,Hanson,1
90s Trivia,What show featured the character Ross Geller?,Friends,Seinfeld,Frasier,Cheers,1
90s Trivia,What 90s movie featured dinosaurs?,Jurassic Park,Godzilla,King Kong,Jaws,1
90s Trivia,What gaming device was huge in the 90s?,Game Boy,PS3,Switch,Xbox One,1
90s Trivia,What 90s show had the theme song 'I'll Be There For You'?,Friends,Full House,Fresh Prince,Home Improvement,1
90s Trivia,Who was the Fresh Prince?,Will Smith,Eddie Murphy,Chris Rock,Jamie Foxx,1
90s Trivia,What toy was a 90s spinning battle toy?,Beyblade,Hot Wheels,YoYo,Lego,1
90s Trivia,What Windows version was popular in late 90s?,Windows 98,XP,95,Vista,1
90s Trivia,What was the highest grossing 90s movie?,Titanic,Jurassic Park,Star Wars,Matrix,1
General Knowledge,What is the square root of 64?,8,6,7,9,1
General Knowledge,How many planets in the solar system?,8,9,7,10,1
General Knowledge,What is the boiling point of water C?,100,90,80,70,1
General Knowledge,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippo,1
General Knowledge,What language has most native speakers?,Mandarin,English,Spanish,Hindi,1
General Knowledge,What is the main gas in air?,Nitrogen,Oxygen,Hydrogen,Carbon Dioxide,1
General Knowledge,What country made pizza famous?,Italy,France,USA,Greece,1
General Knowledge,What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,1
General Knowledge,What shape has 3 sides?,Triangle,Square,Pentagon,Circle,1
General Knowledge,What is 5 x 5?,25,20,30,15,1
General Knowledge,Who is the villain in The Dark Knight?,Joker,Bane,Two Face,Scarecrow,1
General Knowledge,What element is Fe?,Iron,Gold,Silver,Tin,1
General Knowledge,What galaxy do we live in?,Milky Way,Andromeda,Orion,Centauri,1
General Knowledge,What is the smallest prime number?,2,1,3,5,1
General Knowledge,What does HTTP stand for?,HyperText Transfer Protocol,High Transfer Text Protocol,Hyper Transfer Text Process,Home Tool Transfer Protocol,1
General Knowledge,What year did the first iPhone release?,2007,2005,2008,2006,1
General Knowledge,What is the freezing point of water C?,0,10,32,5,1
General Knowledge,Who discovered gravity (legend)?,Newton,Einstein,Tesla,Galileo,1
General Knowledge,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1
General Knowledge,How many players on a soccer team?,11,10,9,12,1
